Date,Region,Product,Quantity,Revenue
2025-01-01,North,Widget,10,200
2025-01-02,South,Gadget,15,300
2025-01-03,East,Thing,20,400
2025-01-04,West,Widget,5,50
2025-01-05,North,Gadget,10,250
2025-01-06,South,Thing,25,500
2025-01-07,East,Widget,15,300
2025-01-08,West,Gadget,10,200
2025-01-09,North,Thing,5,100
2025-01-10,South,Widget,20,400
2025-01-11,East,Gadget,10,200
2025-01-12,West,Thing,30,600
2025-01-13,North,Widget,5,100
2025-01-14,South,Gadget,15,300
2025-01-15,East,Thing,10,200
2025-01-16,West,Widget,25,500
2025-01-17,North,Gadget,10,200
2025-01-18,South,Thing,20,400
2025-01-19,East,Widget,15,300
2025-01-20,West,Gadget,5,100
2025-01-21,North,Widget,15,300
2025-01-22,South,Gadget,10,200
2025-01-23,East,Thing,5,100
2025-01-24,West,Widget,30,600
2025-01-25,North,Gadget,20,400
2025-01-26,South,Thing,10,200
2025-01-27,East,Widget,10,200
2025-01-28,West,Gadget,25,500
2025-01-29,North,Thing,30,600
2025-01-30,South,Widget,15,300
2025-01-31,East,Gadget,20,400
2025-02-01,West,Thing,10,200
2025-02-02,North,Widget,10,200
2025-02-03,South,Gadget,15,300
2025-02-04,East,Thing,20,400
2025-02-05,West,Widget,5,100
2025-02-06,North,Gadget,10,250
2025-02-07,South,Thing,25,500
2025-02-08,East,Widget,15,300
2025-02-09,West,Gadget,10,200
2025-02-10,North,Thing,5,100
2025-02-11,South,Widget,20,400
2025-02-12,East,Gadget,10,200
2025-02-13,West,Thing,30,600
2025-02-14,North,Widget,5,100
2025-02-15,South,Gadget,15,300
2025-02-16,East,Thing,10,200
2025-02-17,West,Widget,25,500
2025-02-18,North,Gadget,10,200
2025-02-19,South,Thing,20,400
2025-02-20,East,Widget,15,300
2025-02-21,West,Gadget,5,100
2025-02-22,North,Widget,5,100
2025-02-23,South,Gadget,20,400
2025-02-24,East,Thing,10,200
2025-02-25,West,Widget,25,500
2025-02-26,North,Gadget,10,200
2025-02-27,South,Thing,15,300
2025-02-28,East,Widget,10,200
2025-03-01,West,Gadget,25,500
2025-03-02,North,Widget,10,200
2025-03-03,South,Gadget,10,200
2025-03-04,East,Thing,20,400
2025-03-05,West,Widget,15,300
2025-03-06,North,Gadget,20,400
2025-03-07,South,Thing,15,300
2025-03-08,East,Widget,15,300
2025-03-09,West,Gadget,5,100
2025-03-10,North,Thing,20,400
2025-03-11,South,Widget,25,500
2025-03-12,East,Gadget,10,200
2025-03-13,West,Thing,15,300
2025-03-14,North,Widget,5,100
2025-03-15,South,Gadget,20,400
2025-03-16,East,Thing,15,300
2025-03-17,West,Widget,30,600
2025-03-18,North,Gadget,15,300
2025-03-19,South,Thing,20,400
2025-03-20,East,Widget,15,300
2025-03-21,West,Gadget,5,100
2025-03-22,North,Widget,5,100
2025-03-23,South,Gadget,15,300
2025-03-24,East,Thing,10,200
2025-03-25,West,Widget,25,500
2025-03-26,North,Gadget,10,200
2025-03-27,South,Thing,20,400
2025-03-28,East,Widget,15,300
2025-03-29,West,Gadget,5,100
2025-03-30,North,Thing,20,400
2025-03-31,South,Widget,15,300
